Customer heading,Latitude,Longitude,Town,Province,Region,Current Seller id,Institution,Titularity
171723,28.013271,-15.477752,TELDE,Las Palmas,Islas Canarias,153.0,Yes,Public
171727,37.014745,-4.563339,ANTEQUERA,Málaga,Andalucía,206.0,Yes,Public
171729,40.638628,-0.340505,OLOCAU DEL REY,Castellón,Comunidad Valenciana,197.0,Yes,Public
171731,42.269208,2.959876,FIGUERES,Gerona,Cataluña,158.0,No,Catholic
171732,42.339791,-8.605556,PONT SAMPAIO-SANTA MARIA,Pontevedra,Galicia,120.0,Yes,Public
171733,27.986308,-15.787323,LA ALDEA DE SAN NICOLAS,Las Palmas,Islas Canarias,153.0,Yes,Public
171734,28.354447,-14.105887,PAJARA,Las Palmas,Islas Canarias,153.0,Yes,Public
171735,28.217086,-14.169258,FUERTEVENTURA,Las Palmas,Islas Canarias,153.0,Yes,Public
171738,28.00762,-15.552553,VEGA DE SAN MATEO,Las Palmas,Islas Canarias,103.0,Yes,Public
171739,41.626688,-4.740956,VALLADOLID,Valladolid,Castilla y León,129.0,Yes,Private
171740,39.937549,-3.61564,CIRUELOS,Toledo,Castilla la Mancha,202.0,Yes,Public
171741,39.707525,-4.21932,TOTANES,Toledo,Castilla la Mancha,202.0,Yes,Public
171742,29.102497,-13.624986,TEGUISE,Las Palmas,Islas Canarias,163.0,Yes,Public
171743,36.713807,-4.248959,RINCON DE LA VICTORIA,Málaga,Andalucía,175.0,No,Catholic
171744,42.284413,-8.608867,REDONDELA,Pontevedra,Galicia,183.0,Yes,Public
171745,42.289929,-8.609918,REDONDELA,Pontevedra,Galicia,183.0,Yes,Public
171748,38.478295,-0.804791,ELDA,Alicante,Comunidad Valenciana,162.0,Yes,Public
171749,42.162126,-8.797008,PRIEGUE-NIGRAN,Pontevedra,Galicia,122.0,Yes,Private
171750,39.052291,-5.655186,GARGALIGAS,Badajoz,Extremadura,181.0,Yes,Public
171751,41.942619,-7.435492,VERIN,Orense,Galicia,211.0,No,Catholic
171753,42.043268,-6.076944,SAN PEDRO DE CEQUE,Zamora,Castilla y León,101.0,Yes,Public
171755,28.649071,-17.765984,BREÑA ALTA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171757,28.204006,-16.826876,ALCALA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171761,27.812831,-17.967499,VALVERDE,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171762,28.140714,-16.563451,GRANADILLA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171764,40.421763,0.077359,TIRIG,Castellón,Comunidad Valenciana,197.0,Yes,Public
171765,39.5358,-0.371195,VINALESA,Valencia,Comunidad Valenciana,104.0,Yes,Public
171767,28.776279,-17.976144,PUNTAGORDA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171769,39.341311,3.053019,SES SALINES,Baleares,Islas Baleares,138.0,Yes,Public
171770,37.686493,-3.819198,LOS VILLARES,Jaén,Andalucía,176.0,Yes,Public
171772,41.520284,1.749098,PIERA,Barcelona,Cataluña,213.0,Yes,Private
171773,41.531915,1.752676,PIERA,Barcelona,Cataluña,213.0,Yes,Public
171774,29.130994,-13.46201,HARIA,Las Palmas,Islas Canarias,163.0,Yes,Public
171775,28.165008,-17.327254,ALOJERA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171781,28.583445,-17.780566,VILLA DE MAZO,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171782,28.38115,-16.68542,BUEN PASO,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171783,39.609133,2.689387,PALMA DE MALLORCA,Baleares,Islas Baleares,138.0,No,Catholic
171784,39.573034,3.21465,MANACOR,Baleares,Islas Baleares,138.0,No,Catholic
171785,36.416905,-6.149605,CHICLANA DE LA FRONTERA,Cádiz,Andalucía,196.0,No,Catholic
171786,40.589256,-5.015967,MUÑANA,Ávila,Castilla y León,170.0,Yes,Public
171787,38.079274,-1.237226,MOLINA DE SEGURA,Murcia,Murcia,114.0,Yes,Public
171788,43.158879,-8.568518,CERCEDA,La Coruña,Galicia,107.0,Yes,Public
171790,28.021101,-15.551048,UTIACA,Las Palmas,Islas Canarias,103.0,Yes,Public
171793,42.331974,-8.763348,CELA-BUEU,Pontevedra,Galicia,120.0,Yes,Public
171794,40.202978,-0.419973,VILLAHERMOSA DEL RIO,Castellón,Comunidad Valenciana,197.0,Yes,Public
171796,41.575499,1.60499,SANTA MARGARIDA DE MONTBUI,Barcelona,Cataluña,213.0,Yes,Public
171798,42.800192,-4.73791,SANTIBAÑEZ DE LA PEÑA,Palencia,Castilla y León,212.0,Yes,Public
171799,39.199193,-0.314979,SUECA,Valencia,Comunidad Valenciana,128.0,Yes,Private
171802,29.050418,-13.643511,TINAJO,Las Palmas,Islas Canarias,163.0,Yes,Public
171804,28.484173,-16.309822,SAN CRISTOBAL DE LA LAGUNA,Sta.Cruz Tenerife,Islas Canarias,174.0,No,Catholic
171805,37.83162,-1.879598,LORCA,Murcia,Murcia,173.0,Yes,Public
171806,37.684149,-3.370452,SOLERA - HUELMA,Jaén,Andalucía,176.0,Yes,Public
171808,36.738886,-6.437486,CHIPIONA,Cádiz,Andalucía,196.0,No,Catholic
171810,37.87568,-4.790721,CORDOBA,Córdoba,Andalucía,150.0,Yes,Private
171812,42.516417,-8.117266,O IRIXO,Orense,Galicia,211.0,Yes,Public
171813,37.182562,-6.968466,PUNTA UMBRIA,Huelva,Andalucía,137.0,Yes,Public
171814,39.165562,-5.885541,ESCURIAL,Cáceres,Extremadura,181.0,Yes,Public
171816,42.857987,-8.532444,SANTIAGO DE COMPOSTELA,La Coruña,Galicia,190.0,Yes,Public
171817,42.859146,-8.530926,SANTIAGO DE COMPOSTELA,La Coruña,Galicia,190.0,Yes,Public
171819,43.246787,-8.590344,A LARACHA,La Coruña,Galicia,107.0,Yes,Public
171824,28.502332,-17.826685,FUENCALIENTE DE LA PALMA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171827,40.236146,-6.049163,ZARZA DE GRANADILLA,Cáceres,Extremadura,207.0,Yes,Public
171828,41.861982,-5.410236,VILLALPANDO,Zamora,Castilla y León,101.0,Yes,Public
171830,41.502275,-5.750266,ZAMORA,Zamora,Castilla y León,101.0,Yes,Public
171831,39.816807,-3.736553,VILLAMUELAS,Toledo,Castilla la Mancha,202.0,Yes,Public
171833,41.77553,-6.515871,TRABAZOS,Zamora,Castilla y León,101.0,Yes,Public
171835,40.553902,-4.903936,SOLOSANCHO,Ávila,Castilla y León,170.0,Yes,Public
171836,40.358565,-5.518705,EL BARCO DE AVILA,Ávila,Castilla y León,170.0,Yes,Public
171838,40.069443,-0.522999,MONTANEJOS,Castellón,Comunidad Valenciana,203.0,Yes,Public
171839,38.090349,-0.978042,RAIGUERO DE BONANZA,Alicante,Comunidad Valenciana,162.0,Yes,Public
171840,28.142704,-16.521828,EL RIO DE ARICO,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171841,28.008734,-16.656019,ARONA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171843,40.170997,-5.167672,POYALES DEL HOYO,Ávila,Castilla y León,170.0,Yes,Public
171844,42.115682,-4.496086,MONZON DE CAMPOS,Palencia,Castilla y León,212.0,Yes,Public
171846,38.031164,-1.089269,LAS LUMBRERAS,Murcia,Murcia,204.0,Yes,Public
171848,28.060667,-16.71817,PLAYA DE LOS CRISTIANOS,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171849,38.913494,-0.110811,OLIVA,Valencia,Comunidad Valenciana,177.0,Yes,Public
171850,28.101773,-17.119267,SAN SEBASTIAN DE LA GOMERA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171857,28.41759,-16.490029,LA CORUJERA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171859,43.267793,-1.974521,HERNANI,Guipúzcoa,País Vasco,132.0,Yes,Public
171860,39.49931,-0.68544,CHESTE,Valencia,Comunidad Valenciana,128.0,Yes,Public
171861,36.745513,-5.164478,RONDA,Málaga,Andalucía,206.0,Yes,Public
171862,38.694587,-6.135734,PALOMAS,Badajoz,Extremadura,148.0,Yes,Public
171864,36.422873,-5.149572,ESTEPONA,Málaga,Andalucía,195.0,Yes,Public
171866,37.280438,-6.944496,HUELVA,Huelva,Andalucía,137.0,Yes,Public
171867,38.960315,-0.183647,GANDIA,Valencia,Comunidad Valenciana,177.0,Yes,Public
171868,43.215042,-2.020695,ANDOAIN,Guipúzcoa,País Vasco,132.0,Yes,Public
171869,43.330237,-3.003763,LEIOA,Vizcaya,País Vasco,154.0,Yes,Public
171871,36.767865,-6.352154,SANLUCAR DE BARRAMEDA,Cádiz,Andalucía,196.0,Yes,Public
171872,38.278738,-3.612993,LA CAROLINA,Jaén,Andalucía,109.0,Yes,Public
171874,27.907424,-15.730782,CASAS DE VENEGUERA,Las Palmas,Islas Canarias,153.0,Yes,Public
171875,43.237557,-2.887089,BASAURI,Vizcaya,País Vasco,154.0,Yes,Public
171876,43.238643,-2.88115,BASAURI,Vizcaya,País Vasco,154.0,Yes,Public
171877,43.303286,-3.028161,VALLE DE TRAPAGA-TRAPAGAR,Vizcaya,País Vasco,140.0,Yes,Public
171878,43.303915,-3.037525,VALLE DE TRAPAGA-TRAPAGAR,Vizcaya,País Vasco,140.0,Yes,Public
171880,28.491534,-16.326703,SAN CRISTOBAL DE LA LAGUNA,Sta.Cruz Tenerife,Islas Canarias,174.0,Yes,Public
171881,37.267825,-4.828206,LORA DE ESTEPA,Sevilla,Andalucía,198.0,Yes,Public
171884,39.544553,-0.403453,MONCADA,Valencia,Comunidad Valenciana,104.0,Yes,Public
171885,38.915108,-0.19257,POTRIES,Valencia,Comunidad Valenciana,177.0,Yes,Public
171886,41.480346,2.188749,MONTCADA I REIXAC,Barcelona,Cataluña,184.0,Yes,Public
171887,43.266733,-2.931952,BILBAO,Vizcaya,País Vasco,154.0,Yes,Public
171888,41.370894,2.111628,L'HOSPITALET DE LLOBREGAT,Barcelona,Cataluña,168.0,Yes,Private
171891,42.255664,2.949913,VILAFANT,Gerona,Cataluña,158.0,Yes,Public
171892,41.599643,1.546543,JORBA,Barcelona,Cataluña,213.0,Yes,Public
171893,38.890161,-0.34137,MONTITXELVO-MONTICHELVO,Valencia,Comunidad Valenciana,177.0,Yes,Public
171896,42.359748,3.15163,LLANÇA,Gerona,Cataluña,158.0,Yes,Public
171897,41.572533,2.09404,SABADELL,Barcelona,Cataluña,123.0,Yes,Public
171898,41.261548,1.168843,ALCOVER,Tarragona,Cataluña,179.0,Yes,Public
171899,41.275494,1.975705,CASTELLDEFELS,Barcelona,Cataluña,213.0,Yes,Public
171901,42.164751,0.891894,TREMP,Lérida,Cataluña,185.0,Yes,Public
171904,38.022118,-1.11675,CABEZO DE TORRES,Murcia,Murcia,204.0,Yes,Public
171905,36.720981,-4.42129,MALAGA,Málaga,Andalucía,175.0,No,Catholic
171907,43.262316,-2.930854,BILBAO,Vizcaya,País Vasco,154.0,Yes,Public
171909,43.262826,-2.938173,BILBAO,Vizcaya,País Vasco,154.0,Yes,Private
171910,36.866916,-2.463012,ALMERIA,Almería,Andalucía,145.0,Yes,Public
171911,37.208902,-3.608247,GRANADA,Granada,Andalucía,167.0,Yes,Public
171912,38.993284,-0.515648,XATIVA,Valencia,Comunidad Valenciana,187.0,Yes,Public
171913,38.874499,-6.959181,BADAJOZ,Badajoz,Extremadura,148.0,Yes,Public
171915,43.223384,-1.964465,URNIETA,Guipúzcoa,País Vasco,132.0,Yes,Public
171916,38.018557,-4.381662,MONTORO,Córdoba,Andalucía,150.0,Yes,Public
171918,28.23692,-16.454511,FASNIA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171920,28.741579,-17.744039,PUNTALLANA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171922,28.480726,-14.024632,PUERTO DEL ROSARIO,Las Palmas,Islas Canarias,153.0,Yes,Public
171923,37.246668,-1.918244,ANTAS,Almería,Andalucía,191.0,Yes,Public
171924,37.245984,-1.917573,ANTAS,Almería,Andalucía,191.0,Yes,Public
171925,41.37226,2.116971,L'HOSPITALET DE LLOBREGAT,Barcelona,Cataluña,168.0,Yes,Public
171928,41.36648,2.108959,L'HOSPITALET DE LLOBREGAT,Barcelona,Cataluña,168.0,Yes,Public
171930,41.544909,0.731753,PUIGVERD DE LLEIDA,Lérida,Cataluña,185.0,Yes,Public
171931,41.524515,2.23704,MARTORELLES,Barcelona,Cataluña,184.0,Yes,Public
171933,41.635805,0.631014,LLEIDA,Lérida,Cataluña,185.0,Yes,Public
171934,39.508325,-0.414077,BURJASSOT,Valencia,Comunidad Valenciana,127.0,Yes,Public
171936,41.550905,2.111663,SABADELL,Barcelona,Cataluña,123.0,Yes,Public
171937,39.89203,-0.08202,BORRIANA-BURRIANA,Castellón,Comunidad Valenciana,203.0,Yes,Public
171940,41.629715,2.689583,PINEDA DE MAR,Barcelona,Cataluña,108.0,Yes,Public
171941,41.409912,2.2138,BARCELONA,Barcelona,Cataluña,178.0,Yes,Public
